model,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_time_s,test_r2,test_rmse,test_mae
Baseline (Mean),-0.0315578212985145,0.04303476036049338,4.344835721643005,0.10469460487365723,,,
LinearRegression,0.6847552704232839,0.08595557880711496,2.364275397353644,0.14099836349487305,,,
Ridge,0.6847550023333868,0.08596964090263373,2.3642651879628986,0.11986875534057617,,,
KNN,0.19834554990370784,0.6591718942225119,3.5145252259923625,2.0639381408691406,,,
RandomForest,0.571777408851425,0.19346461354658526,2.6880280500118907,164.02498173713684,,,
HistGradientBoosting,0.6905451312805283,0.11121314691163181,2.314646715635235,2.90265154838562,,,
Physics: p_in_mot/omega (bez učenja),-5.096491472482262,,10.684349360350499,,-1.6085637312027186,7.23767770239405,3.96741284929788
Physics: kalibrisan (LR na p/omega),0.10663030015464141,0.11727971794244722,,,0.14381081053453226,4.146516367416484,3.2531248496595278
