feature,importance
d_std,3.0929974406490324
u_rms,2.5951498747872277
p_in_inv,0.4424346909250314
p_in_mot,0.3709019616260943
theta_s_mean,0.16832124963447323
theta_r_mean,0.14939596249128245
i_rms,0.13295512520302974
speed_rpm,0.047764246947494406
p_in_mot_over_omega,0.031694189897398764
u_dc,0.013253342929356005
