feature,VIF
d_std,39.913401084256634
u_rms,34.47187704410842
theta_s_mean,18.66112979322064
theta_r_mean,15.037876760655188
p_in_inv,13.285060445385765
p_in_mot,10.848226183061792
i_rms,3.9284375017691664
u_dc,2.6652712486567505
speed_rpm,2.483251392563016
p_in_mot_over_omega,1.7211878348963705
