series_id,n,bias,rmse,mae
1,357,-0.6896933392174494,0.6971032602594008,0.6896933392174495
2,345,-2.3692087019337493,2.370999286424477,2.3692087019337493
3,309,0.21260436139461575,0.27078280045437164,0.23227833895450628
4,393,-1.9307956306881393,1.9796688234753648,1.9307956306881389
5,453,1.6200183832676973,1.6279654493417286,1.6200183832676973
6,309,0.25929084058503854,0.2800324027422556,0.26059655823021993
7,451,1.6237808991864349,1.6361947349487576,1.6237808991864349
8,439,-0.7811419675844253,0.7832675289244407,0.7811419675844253
9,189,0.060350552100262723,0.09577407663484061,0.07904378990951322
10,285,-0.29793679778213106,0.332498460659643,0.30017005726243146
11,237,-0.7837772718166095,0.7849742543810913,0.7837772718166095
12,105,0.2914473890431559,0.29764131123850235,0.2914473890431559
13,405,-1.2637159509670868,1.2742280392139331,1.2637159509670866
14,357,-1.740201278854524,1.7412793825928674,1.7402012788545245
15,285,-1.1271811342843676,1.1301557629141294,1.1271811342843676
16,381,-1.2446039960463566,1.2450659734275336,1.2446039960463566
17,439,-4.6369898864231125,4.666008745556422,4.636989886423112
18,417,0.2418432524698086,0.2572141444317664,0.24189266613115631
19,321,0.20366363362053624,0.2187379405678578,0.20366363362053624
20,297,-1.1374902266709288,1.14144856928461,1.1374902266709288
21,117,0.8635569422785695,0.8795983343492366,0.8635569422785695
22,297,-0.3204755197812471,0.34725872158001864,0.32159638452237804
23,429,-1.5975781502734225,1.5984750528633125,1.5975781502734225
24,357,-0.6101094959939594,0.6425363113927197,0.6105754502204795
25,201,0.9882578590441239,0.9897957833426032,0.9882578590441237
26,153,2.4897088608984297,2.4906107646147038,2.4897088608984297
27,141,-0.38847704712326003,0.39489996849559345,0.38847704712326003
28,345,-0.9224311880406025,0.9384089426878743,0.9224311880406025
29,201,-2.513778724450923,2.5221366252089816,2.513778724450923
30,357,-1.3565058717038168,1.357340312438237,1.3565058717038168
31,537,-2.699125379820732,2.7005426251837243,2.699125379820732
32,393,3.244552976725926,3.2511970857361567,3.244552976725927
33,489,2.927247873664823,2.94228213755886,2.927247873664823
34,465,0.3043557371830815,0.38350197528514024,0.35551242286056983
35,357,2.8846454847324865,2.8888723555292533,2.8846454847324865
36,237,1.704804671804895,1.7215603638149581,1.704804671804895
37,297,0.3203827432097372,0.37115445075071035,0.3203827432097372
38,417,-0.478546978770317,0.5819131757476046,0.478546978770317
39,429,-2.190679612203886,2.1918186885513142,2.190679612203886
40,369,-0.06296519679896824,0.20561077233364175,0.17924607655650857
41,57,0.5232017622050673,0.5245111416723397,0.5232017622050673
42,345,-1.0372045315473197,1.0418550070632477,1.03720453154732
43,475,3.991140392541447,4.006480960613296,3.9911403925414466
