model,cv_r2_mean,cv_r2_std,test_r2,mse,rmse,mae
LinearRegression,0.6781668441408625,0.12153726844474487,0.7142000236765078,4.839730260143723,2.19993869463304,1.757571127252556
RidgeCV,0.6781641443437815,0.12153386627284564,0.7141982829837494,4.839759736995066,2.199945394093923,1.7575681254913735
LassoCV,0.6778033156520228,0.12031409777723161,0.713373023812633,4.853734656917359,2.2031193015625274,1.7575303967661904
GradientBoosting,0.6568691867309122,0.2546268997766633,0.8825115004449763,1.9895475634040205,1.4105132269511054,1.0720281688617197
RandomForest,0.6058544467369004,0.26077562480057537,0.7132306204409996,4.856146112354501,2.2036665156857334,1.3221868648509725
KNN,0.5232079700939979,0.25195543127849424,0.6792123039407925,5.432211505651966,2.3307105151974508,1.5470554499838443
DecisionTree,0.48226104112816265,0.2637531510851993,0.5554319386021717,7.528305380281607,2.7437757525500523,1.6202701482957897
Baseline (Mean),-0.015337576159662358,0.02132139312587913,-0.04479115335541417,17.692469486775895,4.206241729474888,3.4702353342728305
