model,cv_r2_mean,cv_r2_std,test_r2,mse,rmse,mae
GradientBoosting,0.6841807461043341,0.18388546485182763,0.8802513283158138,2.027821266527985,1.4240158940573608,1.0599801265263902
RidgeCV,0.678013056843131,0.11817128295098187,0.7174805109951938,4.784178562944519,2.187276517257139,1.7383446943036358
LinearRegression,0.677976482631057,0.11818609911350654,0.7174090606498007,4.785388501458668,2.1875530854035676,1.7385254145834566
LassoCV,0.676608122696089,0.11936577013970215,0.7150406202876383,4.825495616363145,2.196701075786859,1.7377018743370698
RandomForest,0.6298549968052777,0.17373250417653768,0.7881228523065748,3.5879227714285946,1.894181293178822,1.318184719638428
KNN,0.5985506592589559,0.1406180610390596,0.6130594151046934,6.55244301166723,2.5597740157418643,1.6623819003362597
DecisionTree,0.4746762051979504,0.23505904473328876,0.649082212040665,5.9424337925317445,2.4377107688427158,1.6144911184368538
Baseline (Mean),-0.015337576159662358,0.02132139312587913,-0.04479115335541417,17.692469486775895,4.206241729474888,3.4702353342728305
