model,cv_r2_mean,cv_r2_std,test_r2,mse,rmse,mae,experiment,n_features
GradientBoosting,0.6568691867309122,0.2546268997766633,0.8825115004449763,1.9895475634040205,1.4105132269511054,1.0720281688617197,merged,9
GradientBoosting,0.6841807461043341,0.18388546485182763,0.8802513283158138,2.027821266527985,1.4240158940573608,1.0599801265263902,with_power,17
GradientBoosting,0.695548524212918,0.2673686709181935,0.853734251353875,2.4768608411079143,1.5738045752595569,0.971440236673488,merged_power_over_omega,10
GradientBoosting,0.6007593641772399,0.14824256058014856,0.8347641627825639,2.7980998869511597,1.6727521893428088,1.3114092569480043,no_power,15
