experiment,n_features,best_model,cv_r2_mean,cv_r2_std,cv_rmse,test_r2,test_rmse,test_mae
merged_power_over_omega,10,LinearRegression,0.6847552704232839,0.08595557880711496,2.364275397353644,0.6852920327819847,2.513925382068957,1.784158850160375
merged,9,LinearRegression,0.6670811437390233,0.09409077654164416,2.4284378492071665,0.6524752447218927,2.64174799876965,1.9090013418530638
with_power,17,LinearRegression,0.6619245001597672,0.09904475380918144,2.4438132907564025,0.6549688345403836,2.6322532864027153,1.9173997452840987
no_power,15,HistGradientBoosting,0.5426586188992558,0.12198268337265945,2.8624487923388164,0.7957521266869088,2.025243680190311,1.4190330184403415
