model,cv_r2_mean,cv_r2_std,test_r2,mse,rmse,mae
GradientBoosting,0.6007593641772399,0.14824256058014856,0.8347641627825639,2.7980998869511597,1.6727521893428088,1.3114092569480043
KNN,0.4543572347641177,0.13505186131290375,0.5136236026515347,8.236286784722054,2.8698931660816323,1.995266145164951
RandomForest,0.4528130619777449,0.15907273049132908,0.7881997287204079,3.586620947995627,1.8938376245062898,1.4073681937930724
LassoCV,0.3784816663014367,0.08734292000561042,0.496094119883031,8.533130644860686,2.9211522803271803,2.290534615439589
RidgeCV,0.3761949536122994,0.09822768046742972,0.49944906979064085,8.476317999884301,2.9114116850566325,2.2906991881281993
LinearRegression,0.3761802209219624,0.09827673117535643,0.4995218122697961,8.475086180406588,2.911200127165185,2.2906518700528578
DecisionTree,0.2195521224871017,0.25516826312149743,0.5888292484588086,6.962756099278129,2.6387034883211355,1.8476583208911042
Baseline (Mean),-0.015337576159662358,0.02132139312587913,-0.04479115335541417,17.692469486775895,4.206241729474888,3.4702353342728305
