model,cv_r2,test_r2,mse,mae
GradientBoosting,0.5942213803585649,0.8288247248876065,2.8986781923738776,1.3513381260582011
RandomForest,0.4606105692979966,0.7871357298173679,3.6046386810761013,1.4175577986142787
KNN,0.45451361805785917,0.5132386949208823,8.242804803426482,1.9959200075693646
Lasso,0.38913892464454547,0.487019131795,8.686806285513555,2.270024994798575
Ridge,0.3771115495441909,0.49879890819679584,8.487327821439198,2.2907027404738187
LinearRegression,0.37623838585429725,0.4996130225653711,8.473541627348153,2.290091894948783
DecisionTree,0.29366296643693907,0.5596175888518902,7.45742567471784,1.9119136691304586
Baseline (Mean),-0.015337576159662358,-0.04479115335541417,17.692469486775895,3.4702353342728305
